nu_cm1,S_cm_per_molec,gamma_air,gamma_self,elower,iso,band_upper,band_lower,branch_J
1260.3703,1.754e-27,0.0694,0.083,2926.3322,2,1440,0440,P 38e
1260.3706,1.754e-27,0.0694,0.083,2926.3317,2,1440,0440,P 38f
1260.3707,7.274e-28,0.077,0.099,2576.0323,5,2220,1220,P 17e
1260.3723,7.274e-28,0.077,0.099,2576.029,5,2220,1220,P 17f
1260.3728,8.288e-28,0.0809,0.104,1791.3177,4,1310,0310,Q 12f
1260.3885,7.627e-26,0.0725,0.09,2043.0289,3,1310,0310,P 27e
1260.3985,7.572e-26,0.0725,0.09,2044.0739,3,1310,0310,P 27f
1260.4011,9.975e-24,0.088,0.11,596.0973,4,1110,0110,R 5e
1260.4060,4.131e-26,0.0701,0.085,2256.4281,2,1330,0330,P 35f
1260.4068,5.859e-26,0.0846,0.107,1868.3284,4,2110,1110,R 8e
1260.4081,3.226e-28,0.0749,0.095,1961.2266,1,1310,0330,P 21e
1260.4084,4.132e-26,0.0701,0.085,2256.4199,2,1330,0330,P 35e
1260.4130,1.186e-25,0.0783,0.101,1959.5953,3,2110,1110,P 15e
1260.4163,9.975e-24,0.088,0.11,596.1187,4,1110,0110,R 5f
1260.4252,1.184e-25,0.0783,0.101,1959.8041,3,2110,1110,P 15f
1260.4324,1.741e-25,0.0922,0.114,1173.4576,4,1220,0220,P 3e
1260.4324,1.741e-25,0.0922,0.114,1173.4576,4,1220,0220,P 3f
1260.4346,4.134e-28,0.0681,0.08,1953.4103,4,1220,0220,Q 44f
1260.4431,9.445e-28,0.082,0.105,1781.7843,4,1310,0310,Q 11f
1260.4435,5.858e-26,0.0846,0.107,1868.391,4,2110,1110,R 8f
1260.4545,5.841e-28,0.0857,0.108,2464.9425,5,2200,1200,P 8e
1260.4597,1.517e-26,0.0799,0.103,3545.3655,1,2001,1001,R 12e
1260.4601,7.825e-28,0.0777,0.1,4061.7878,1,1331,0331,P 16f
1260.4601,7.825e-28,0.0777,0.1,4061.7877,1,1331,0331,P 16e
1260.4661,4.556e-28,0.0741,0.094,3234.7291,2,1510,1310,P 23f
1260.4694,5.539e-28,0.0679,0.079,4346.8372,1,0820,0620,P 45e
1260.4739,3.477e-28,0.0906,0.112,4066.9481,1,2111,1111,R 3e
1260.4765,4.584e-28,0.0741,0.094,3233.806,2,1510,1310,P 23e
1260.4775,6.033e-28,0.0685,0.081,1884.5973,4,1220,0220,Q 42e
1260.4841,3.477e-28,0.0906,0.112,4066.9587,1,2111,1111,R 3f
1260.4877,1.263e-22,0.0696,0.084,1758.0568,1,1200,0200,P 37e
1260.4942,2.656e-27,0.0707,0.086,4090.3561,1,2400,1400,P 33e
1260.5015,5.544e-28,0.0733,0.092,2583.2613,5,1420,0420,P 25e
1260.5067,8.398e-28,0.0791,0.102,2845.81,3,1111,0111,R 13e
1260.5074,1.080e-27,0.0833,0.106,1773.0453,4,1310,0310,Q 10f
1260.5157,5.548e-28,0.0733,0.092,2583.2044,5,1420,0420,P 25f
1260.5280,3.516e-28,0.0692,0.083,1798.7442,2,1220,0200,P 39e
1260.5361,5.017e-28,0.0683,0.08,1918.5614,4,1220,0220,Q 43f
1260.5517,8.394e-28,0.0791,0.102,2845.9427,3,1111,0111,R 13f
1260.5531,1.059e-24,0.0719,0.089,2825.6029,1,2200,1200,P 29e
1260.5617,7.276e-28,0.0687,0.081,1851.3194,4,1220,0220,Q 41e
1260.5659,1.243e-27,0.0846,0.107,1765.1006,4,1310,0310,Q 9f
1260.5786,1.059e-24,0.0892,0.111,1281.9897,3,2000,1000,P 5e
1260.5954,1.826e-28,0.0868,0.109,3006.7391,4,3110,1310,R 6e
1260.5977,5.909e-28,0.0709,0.087,2775.416,1,1400,0420,P 32e
1260.6019,6.146e-26,0.0709,0.087,2156.8342,2,1310,0310,P 32e
1260.6053,2.872e-23,0.0892,0.111,12.2,5,1000,0000,P 5e
1260.6064,6.966e-27,0.0741,0.094,2670.4597,2,2220,1220,P 23e
1260.6095,6.968e-27,0.0741,0.094,2670.4361,2,2220,1220,P 23f
1260.6123,6.084e-26,0.0709,0.087,2158.4773,2,1310,0310,P 32f
1260.6152,2.307e-28,0.0689,0.082,1824.7512,3,1220,0200,P 40e
1260.6188,1.440e-27,0.0857,0.108,1757.95,4,1310,0310,Q 8f
1260.6211,3.084e-22,0.0765,0.098,121.032,4,1000,0000,R 17e
1260.6238,1.826e-28,0.0868,0.109,3006.7976,4,3110,1310,R 6f
1260.6240,4.584e-28,0.0636,0.067,3595.3765,1,1220,1000,R 74e
1260.6258,1.731e-28,0.0941,0.116,2740.4297,2,1111,0111,R 1e
1260.6289,6.344e-28,0.0709,0.087,2620.0232,5,1001,0001,R 31e
1260.6294,1.731e-28,0.0941,0.116,2740.4313,2,1111,0111,R 1f
1260.6317,2.133e-27,0.088,0.11,2322.0916,4,2220,0420,P 6e
1260.6319,2.133e-27,0.088,0.11,2322.0914,4,2220,0420,P 6f
1260.6355,5.604e-28,0.0679,0.079,4345.4609,1,0820,0620,P 45f
1260.6357,6.068e-28,0.0685,0.081,1884.5021,4,1220,0220,Q 42f
1260.6360,1.040e-28,0.0722,0.09,2050.7693,4,1310,0310,Q 28e
1260.6496,1.200e-28,0.0725,0.09,2028.61,4,1310,0310,Q 27e
1260.6545,1.693e-27,0.0665,0.076,4151.2984,1,1550,0550,P 53f
1260.6546,1.693e-27,0.0665,0.076,4151.2983,1,1550,0550,P 53e
1260.6573,1.270e-26,0.0683,0.08,3691.2875,1,1510,0510,P 43e
1260.6583,1.796e-27,0.0699,0.084,4189.6511,1,2420,1420,P 36e
1260.6586,3.601e-27,0.0707,0.086,2749.6089,2,1400,0400,P 33e
1260.6610,7.527e-26,0.0741,0.094,3395.3493,1,3110,2110,P 23e
1260.6627,1.381e-28,0.0729,0.091,2007.2411,4,1310,0310,Q 26e
1260.6655,1.685e-27,0.0868,0.109,1751.5941,4,1310,0310,Q 7f
1260.6675,3.335e-27,0.0712,0.088,2717.9055,3,1420,0420,P 31e
1260.6702,8.746e-28,0.0689,0.082,1818.8319,4,1220,0220,Q 40e
1260.6713,2.885e-23,0.0754,0.096,755.3986,3,1110,0110,P 20e
1260.6724,4.671e-26,0.0833,0.106,1797.0946,4,1330,0330,P 10e
1260.6726,4.671e-26,0.0833,0.106,1797.0944,4,1330,0330,P 10f
1260.6742,5.035e-27,0.0754,0.096,3923.0685,1,3200,2200,P 20e
1260.6752,1.585e-28,0.0733,0.092,1986.6626,4,1310,0310,Q 25e
1260.6773,3.588e-28,0.0833,0.106,3182.7872,2,3110,2110,P 10f
1260.6841,3.591e-28,0.0833,0.106,3182.6772,2,3110,2110,P 10e
1260.6874,1.816e-28,0.0736,0.093,1966.8746,4,1310,0310,Q 24e
1260.6899,2.878e-23,0.0754,0.096,755.7108,3,1110,0110,P 20f
1260.6903,5.151e-27,0.0624,0.063,3125.1747,1,0220,0000,R 86e
1260.6939,4.214e-28,0.0759,0.097,3174.0569,3,3110,1310,P 19f
1260.6968,3.341e-27,0.0712,0.088,2717.7688,3,1420,0420,P 31f
1260.6988,2.076e-28,0.0741,0.094,1947.8773,4,1310,0310,Q 23e
1260.7042,4.232e-28,0.0759,0.097,3173.4851,3,3110,1310,P 19e
