molecule,nu_cm1,S_cm_per_molec,iso,elower
N2O,1296.2935,4.267e-27,1,3479.2
N2O,1296.3006,1.915e-28,1,4694.9
N2O,1296.3059,8.466e-24,1,1371.8
N2O,1296.3088,3.402e-28,1,4463.1
N2O,1296.3168,2.252e-27,1,3636.6
N2O,1296.3169,2.252e-27,1,3636.6
N2O,1296.3169,1.005e-28,1,3231.8
N2O,1296.3230,3.588e-28,1,4090.2
N2O,1296.3230,3.588e-28,1,4090.2
N2O,1296.3297,8.474e-24,1,1371.8
N2O,1296.3391,3.038e-28,1,4426.3
N2O,1296.3491,1.294e-28,1,3182.5
N2O,1296.3514,2.890e-25,1,1850.1
N2O,1296.3577,1.343e-28,1,3290.1
N2O,1296.3623,1.815e-22,1,1170.7
N2O,1296.3722,8.974e-28,1,1266.0
N2O,1296.3749,9.681e-24,1,1354.2
N2O,1296.3804,1.660e-28,1,3133.9
N2O,1296.3848,1.978e-28,1,4463.6
N2O,1296.3863,6.318e-28,1,3164.1
N2O,1296.3945,9.688e-24,1,1354.2
H2O,1296.3956,1.062e-25,1,2756.4
N2O,1296.3962,7.105e-28,1,3254.0
N2O,1296.4087,7.754e-27,1,1233.6
N2O,1296.4108,2.122e-28,1,3086.3
N2O,1296.4305,2.622e-26,1,3550.0
N2O,1296.4403,2.704e-28,1,3039.4
N2O,1296.4403,1.105e-23,1,1337.4
N2O,1296.4508,3.289e-25,1,1837.5
N2O,1296.4557,4.543e-27,1,3868.9
N2O,1296.4559,5.574e-21,1,601.3
N2O,1296.4564,1.106e-23,1,1337.4
N2O,1296.4589,4.546e-27,1,3868.8
N2O,1296.4631,9.172e-28,1,3204.6
H2O,1296.4668,9.795e-26,1,3211.1
N2O,1296.4689,3.431e-28,1,2993.4
N2O,1296.4703,5.575e-21,1,601.4
N2O,1296.4730,1.444e-24,1,2411.8
N2O,1296.4730,1.444e-24,1,2411.8
N2O,1296.4763,1.429e-28,1,4463.6
N2O,1296.4807,9.410e-26,1,3047.0
N2O,1296.4807,9.410e-26,1,3047.0
H2O,1296.4901,1.724e-22,1,2009.8
H2O,1296.4905,5.689e-23,1,2009.8
N2O,1296.4968,4.339e-28,1,2948.2
N2O,1296.5024,1.260e-23,1,1321.4
N2O,1296.5154,1.260e-23,1,1321.4
N2O,1296.5192,8.423e-28,1,2044.6
N2O,1296.5238,5.468e-28,1,2903.9
N2O,1296.5369,9.399e-26,1,3323.9
N2O,1296.5378,2.568e-27,1,4013.2
N2O,1296.5437,3.745e-25,1,1825.7
N2O,1296.5501,6.866e-28,1,2860.3
N2O,1296.5611,1.434e-23,1,1306.3
N2O,1296.5715,1.435e-23,1,1306.3
N2O,1296.5717,9.213e-28,1,3204.5
N2O,1296.5755,8.590e-28,1,2817.7
N2O,1296.5793,3.013e-28,1,4428.0
N2O,1296.5856,1.908e-28,1,4695.7
N2O,1296.5902,2.711e-28,1,4210.5
N2O,1296.5903,7.786e-28,1,3127.1
N2O,1296.5977,6.490e-26,1,3411.7
N2O,1296.6003,1.071e-27,1,2775.8
N2O,1296.6010,1.573e-28,1,3264.8
N2O,1296.6163,1.631e-23,1,1292.0
N2O,1296.6166,5.726e-27,1,3644.4
N2O,1296.6238,9.616e-25,1,2924.8
N2O,1296.6243,1.330e-27,1,2734.8
N2O,1296.6243,2.711e-28,1,4210.6
N2O,1296.6246,1.632e-23,1,1292.0
